Étiquettes de lignes;Nombre de DC_LANGUAGE
français;170398
anglais;18766
aucun contenu linguistique;2592
espagnol;1450
indéterminé;670
multilingue;296
allemand;206
portugais;134
italien;133
roumain;130
chinois;93
russe;71
inuktitut;40
algonquiennes, langues;39
arabe;36
créole haîtien;26
catalan;25
néerlandais;23
coréen;14
cree;14
turc;13
suédois;12
créoles et pidgins français, autre;11
polonais;11
vietnamien;10
japonais;10
hongrois;8
malais;6
lituanien;6
serbe;6
bulgare;6
hébreu;5
norvégien;5
grec moderne (1453- );4
iroquoises, langues;4
persan;4
danois;4
croate;3
sanskrit;3
créoles et pidgins divers;3
latin;3
tchèque;3
macédonien;3
espéranto;3
ukrainien;2
slaves, autres langues;2
biélorusse;2
langage par signes;2
slovène;2
grec ancien (jusqu'à 1453);2
kabyle;2
indiennes d'Amérique du Nord, autres;2
albanais;1
tamoul;1
frioulan;1
yiddish;1
tibétain;1
bengali;1
azéri;1
rwanda;1
swahili;1
wolof;1
languedocien (après 1500);1
altaïque, langue (autre);1
galicien;1
judéo-espagnol;1
géorgien;1
ourdou;1
letton;1
sami du Nord;1
occitan (après 1500);1
Total général;195337
